"","Source","Position","mean","min","max","freq","range"
"1","ESPN","K",7.7107421875,6.06875,9.18125,64,3.1125
"2","ESPN","QB",14.4485714285714,4.425,20.98125,70,16.55625
"3","ESPN","RB",7.79067307692308,3.09375,14.1875,130,11.09375
"4","ESPN","TE",5.6373046875,3.06875,10.5875,64,7.51875
"5","ESPN","WR",7.0627808988764,3.06875,15.66875,178,12.6
"6","FanDuel","K",7.893556928375,4.875,10.6875,32,5.8125
"7","FanDuel","QB",14.5236846156,3.210000038,21.95000076,50,18.740000722
"8","FanDuel","RB",8.78341011768293,3.170000076,18.65999959,82,15.489999514
"9","FanDuel","TE",6.74082011877551,3.010000038,14.64000041,49,11.630000372
"10","FanDuel","WR",8.11692136733913,3.125,20.01250076,115,16.88750076
"11","FanDuel","D",7.275,4.5,11.125,30,6.625
"12","Fox","K",7.19677419354839,5.5,8.8,31,3.3
"13","Fox","QB",16.3129032258065,10.4,20.7,31,10.3
"14","Fox","RB",8.6046875,3.1,20.4,64,17.3
"15","Fox","TE",5.284375,3.1,8.5,32,5.4
"16","Fox","WR",6.87040816326531,3.1,13.4,98,10.3
"17","Fox","D",5.665625,3.5,9.3,32,5.8
"18","NFL","K",8.16666666666667,5,12,24,7
"19","NFL","QB",15.86375,4.82,27,32,22.18
"20","NFL","RB",9.57857142857143,3.1,20.9,56,17.8
"21","NFL","TE",6.6,3.1,12.1,26,9
"22","NFL","WR",8.01047619047619,3.1,15.6,105,12.5
